epoch,train_loss,valid_loss,error_rate,time
0,0.35695651173591614,0.19683220982551575,0.06366047263145447,00:09
1,0.2501614987850189,0.24915196001529694,0.0663129910826683,00:08
2,0.19624704122543335,0.280770868062973,0.06896552443504333,00:08
3,0.16954250633716583,0.2869282066822052,0.05835543945431709,00:09
4,0.13793621957302094,0.24256755411624908,0.0663129910826683,00:09
5,0.11308940500020981,0.21894340217113495,0.045092832297086716,00:09
6,0.08764028549194336,0.17594215273857117,0.050397876650094986,00:09
7,0.0683479756116867,0.16102652251720428,0.04244031757116318,00:08
8,0.055555250495672226,0.13508352637290955,0.037135276943445206,00:09
9,0.04441804066300392,0.13347552716732025,0.031830236315727234,00:08
